,symbol,name,area,industry,fullname,enname,cnspell,market,exchange,list_status,list_date,delist_date
4309,603882,金域医学,广东,医疗保健,广州金域医学检验集团股份有限公司,"Guangzhou Kingmed Diagnostics Group Co,.Ltd.",jyyx,主板,SSE,L,20170908,
4310,603883,老百姓,湖南,医药商业,老百姓大药房连锁股份有限公司,Lbx Pharmacy Chain Joint Stock Company,lbx,主板,SSE,L,20150423,
4311,603885,吉祥航空,上海,空运,上海吉祥航空股份有限公司,"Juneyao Airlines Co., Ltd",jxhk,主板,SSE,L,20150527,
4312,603886,元祖股份,上海,食品,上海元祖梦果子股份有限公司,"Ganso Co., Ltd.",yzgf,主板,SSE,L,20161228,
4313,603887,城地香江,上海,软件服务,上海城地香江数据科技股份有限公司,"Shanghai CDXJ Digital Technology Co.,LTD.",cdxj,主板,SSE,L,20161010,
4314,603888,新华网,北京,互联网,新华网股份有限公司,"Xinhuanet Co., Ltd",xhw,主板,SSE,L,20161028,
4315,603889,新澳股份,浙江,纺织,浙江新澳纺织股份有限公司,Zhejiang Xinao Textiles Inc.,xagf,主板,SSE,L,20141231,
4316,603890,春秋电子,江苏,元器件,苏州春秋电子科技股份有限公司,"Suzhou Chunqiu Electronic Technology Co., Ltd",cqdz,主板,SSE,L,20171212,
4317,603893,瑞芯微,福建,半导体,瑞芯微电子股份有限公司,"Rockchip Electronics Co., Ltd.",rxw,主板,SSE,L,20200207,
4318,603895,天永智能,上海,专用机械,上海天永智能装备股份有限公司,"Shanghai Tianyong Engineering Co.,Ltd.",tyzn,主板,SSE,L,20180122,
4319,603896,寿仙谷,浙江,中成药,浙江寿仙谷医药股份有限公司,"Zhejiang Shouxiangu Pharmaceutical Co., Ltd.",sxg,主板,SSE,L,20170510,
4320,603897,长城科技,浙江,电气设备,浙江长城电工科技股份有限公司,"Zhejiang Grandwall Electric Science&Technology Co.,Ltd.",cckj,主板,SSE,L,20180410,
4321,603898,好莱客,广东,家居用品,广州好莱客创意家居股份有限公司,"Guangzhou Holike Creative Home Co.,Ltd.",hlk,主板,SSE,L,20150217,
4322,603899,晨光股份,上海,文教休闲,上海晨光文具股份有限公司,Shanghai M&G Stationery Inc.,cggf,主板,SSE,L,20150127,
4323,603900,莱绅通灵,江苏,服饰,莱绅通灵珠宝股份有限公司,Leysen Jewellery Inc.,lstl,主板,SSE,L,20161123,
4324,603901,永创智能,浙江,专用机械,杭州永创智能设备股份有限公司,"Hangzhou Youngsun Intelligent Equipment Co.,Ltd.",yczn,主板,SSE,L,20150529,
4325,603903,中持股份,北京,环境保护,中持水务股份有限公司,"CSD Water Service Co., Ltd.",zcgf,主板,SSE,L,20170314,
4326,603906,龙蟠科技,江苏,电气设备,江苏龙蟠科技股份有限公司,"Jiangsu Lopal Tech. Co., Ltd.",lpkj,主板,SSE,L,20170410,
4327,603908,牧高笛,浙江,纺织,牧高笛户外用品股份有限公司,"Comefly Outdoor Co.,Ltd",mgd,主板,SSE,L,20170307,
4328,603909,建发合诚,福建,建筑工程,建发合诚工程咨询股份有限公司,"C&D Holsin Engineering Consulting Co., Ltd.",jfhc,主板,SSE,L,20160628,
4329,603912,佳力图,江苏,专用机械,南京佳力图机房环境技术股份有限公司,"Nanjing Canatal Data-Centre Environmental Tech Co.,Ltd",jlt,主板,SSE,L,20171101,
4330,603915,国茂股份,江苏,机械基件,江苏国茂减速机股份有限公司,"Jiangsu Guomao Reducer Co.,Ltd.",gmgf,主板,SSE,L,20190614,
4331,603916,苏博特,江苏,化工原料,江苏苏博特新材料股份有限公司,"Sobute New Materials Co., Ltd",sbt,主板,SSE,L,20171110,
4332,603917,合力科技,浙江,汽车配件,宁波合力科技股份有限公司,"Ningbo Heli Technology Co., Ltd.",hlkj,主板,SSE,L,20171204,
4333,603918,金桥信息,上海,软件服务,上海金桥信息股份有限公司,"Shanghai Golden Bridge InfoTech Co., Ltd",jqxx,主板,SSE,L,20150528,
4334,603919,金徽酒,甘肃,白酒,金徽酒股份有限公司,"Jinhui Liquor Co.,Ltd.",jhj,主板,SSE,L,20160310,
4335,603920,世运电路,广东,元器件,广东世运电路科技股份有限公司,"Olympic Circuit Technology Co.,Ltd",sydl,主板,SSE,L,20170426,
4336,603922,金鸿顺,江苏,汽车配件,苏州金鸿顺汽车部件股份有限公司,"Suzhou Jinhongshun Auto Parts Co., Ltd.",jhs,主板,SSE,L,20171023,
4337,603926,铁流股份,浙江,汽车配件,浙江铁流离合器股份有限公司,"Zhejiang Tieliu Clutch Co., Ltd",tlgf,主板,SSE,L,20170510,
4338,603927,中科软,北京,软件服务,中科软科技股份有限公司,"Sinosoft Co., Ltd",zkr,主板,SSE,L,20190909,
4339,603928,兴业股份,江苏,化工原料,苏州兴业材料科技股份有限公司,"Suzhou Xingye Materials Technology Co., Ltd.",xygf,主板,SSE,L,20161212,
4340,603929,亚翔集成,江苏,装修装饰,亚翔系统集成科技(苏州)股份有限公司,"L&K Engineering (Suzhou) Co.,Ltd.",yxjc,主板,SSE,L,20161230,
4341,603931,格林达,浙江,化工原料,杭州格林达电子材料股份有限公司,"Hangzhou Greenda Electronic Materials Co., Ltd",gld,主板,SSE,L,20200819,
4342,603933,睿能科技,福建,元器件,福建睿能科技股份有限公司,"Fujian Raynen Technology Co.,Ltd",rnkj,主板,SSE,L,20170706,
4343,603936,博敏电子,广东,元器件,博敏电子股份有限公司,"Bomin Electronics Co.,Ltd.",bmdz,主板,SSE,L,20151209,
4344,603937,丽岛新材,江苏,铝,江苏丽岛新材料股份有限公司,"Jiangsu Lidao New Material Co., Ltd.",ldxc,主板,SSE,L,20171102,
4345,603938,三孚股份,河北,化工原料,唐山三孚硅业股份有限公司,"Tangshan Sunfar Silicon Industries Co.,Ltd.",sfgf,主板,SSE,L,20170628,
4346,603939,益丰药房,湖南,医药商业,益丰大药房连锁股份有限公司,"Yifeng Pharmacy Chain Co., Ltd.",yfyf,主板,SSE,L,20150217,
4347,603948,建业股份,浙江,化工原料,浙江建业化工股份有限公司,"Zhejiang Jianye Chemical Co., Ltd.",jygf,主板,SSE,L,20200302,
4348,603949,雪龙集团,浙江,汽车配件,雪龙集团股份有限公司,"Xuelong Group Co., Ltd",xljt,主板,SSE,L,20200310,
4349,603950,长源东谷,湖北,汽车配件,襄阳长源东谷实业股份有限公司,"Xiangyang Changyuandonggu Industry Co.,Ltd.",cydg,主板,SSE,L,20200526,
4350,603955,大千生态,江苏,环境保护,大千生态环境集团股份有限公司,"Daqian Ecology & Environment Group Co., Ltd.",dqst,主板,SSE,L,20170310,
4351,603956,威派格,上海,专用机械,上海威派格智慧水务股份有限公司,"WPG (Shanghai) Smart Water Public Co.,Ltd",wpg,主板,SSE,L,20190222,
4352,603958,哈森股份,江苏,服饰,哈森商贸(中国)股份有限公司,"Harson Trading(China)Co., Ltd.",hsgf,主板,SSE,L,20160629,
4353,603959,百利科技,湖南,建筑工程,湖南百利工程科技股份有限公司,"Hunan Baili Engineering Sci&Tech Co.,Ltd",blkj,主板,SSE,L,20160517,
4354,603960,克来机电,上海,汽车配件,上海克来机电自动化工程股份有限公司,"Shanghai Kelai Mechatronics Engineering Co.,Ltd",kljd,主板,SSE,L,20170314,
4355,603963,大理药业,云南,中成药,大理药业股份有限公司,"Dali Pharmaceutical Co., Ltd",dlyy,主板,SSE,L,20170922,
4356,603966,法兰泰克,江苏,工程机械,法兰泰克重工股份有限公司,"Eurocrane(China) Co., Ltd.",fltk,主板,SSE,L,20170125,
4357,603967,中创物流,山东,仓储物流,中创物流股份有限公司,"China Master Logistics Co., Ltd.",zcwl,主板,SSE,L,20190429,
4358,603968,醋化股份,江苏,化工原料,南通醋酸化工股份有限公司,"Nantong Acetic Acid Chemical Co.,Ltd.",chgf,主板,SSE,L,20150518,
4359,603969,银龙股份,天津,其他建材,天津银龙预应力材料股份有限公司,"Silvery Dragon Prestressed Materials Co., Ltd.Tianjin",ylgf,主板,SSE,L,20150227,
4360,603970,中农立华,北京,农药化肥,中农立华生物科技股份有限公司,"Sino-Agri Leading  Biosciences Co.,Ltd",znlh,主板,SSE,L,20171116,
4361,603976,正川股份,重庆,医疗保健,重庆正川医药包装材料股份有限公司,"ChongQing Zhengchuan Pharmaceutical Packaging Co.,Ltd.",zcgf,主板,SSE,L,20170822,
4362,603977,国泰集团,江西,化工原料,江西国泰集团股份有限公司,"Jiangxi Guotai Group Co.,Ltd.",gtjt,主板,SSE,L,20161111,
4363,603978,深圳新星,深圳,小金属,深圳市新星轻合金材料股份有限公司,"Shen Zhen Sunxing Light Alloys Materials Co.,Ltd.",szxx,主板,SSE,L,20170807,
4364,603979,金诚信,北京,建筑工程,金诚信矿业管理股份有限公司,"JCHX Mining Management Co.,Ltd.",jcx,主板,SSE,L,20150630,
4365,603980,吉华集团,浙江,染料涂料,浙江吉华集团股份有限公司,"Zhejiang Jihua Group Co.,Ltd",jhjt,主板,SSE,L,20170615,
4366,603982,泉峰汽车,江苏,汽车配件,南京泉峰汽车精密技术股份有限公司,"Nanjing Chervon Auto Precision Technology Co.,Ltd",qfqc,主板,SSE,L,20190522,
4367,603983,丸美股份,广东,日用化工,广东丸美生物技术股份有限公司,"Guangdong Marubi Biotechnology Co., Ltd",wmgf,主板,SSE,L,20190725,
